Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
32,1,2,41850,1,1,24/12/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0
66,1,3,37760,0,0,31/08/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0
64,2,2,76995,0,1,28/03/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0
27,4,1,33812,1,0,11/03/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0
30,1,2,37040,0,0,08/08/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0
34,1,2,2447,1,0,01/06/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0
63,3,2,58607,0,1,23/12/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0
60,3,2,65324,0,1,01/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0
62,1,3,40689,0,1,18/03/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0
44,1,1,18589,0,0,01/02/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0
37,1,2,53359,1,1,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0
27,1,1,52251,1,0,20/02/2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0
24,1,2,38360,1,0,31/05/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0
48,3,2,84618,0,0,22/11/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0
25,2,4,10979,0,0,22/05/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0
50,2,3,38620,0,0,05/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0
42,1,3,40548,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0
60,3,4,46610,0,2,29/10/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0
67,2,2,68657,0,0,20/02/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0
62,2,1,49389,1,1,29/08/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0
43,3,2,67353,0,1,31/12/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0
37,4,2,23718,1,0,09/02/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0
41,1,5,42429,0,1,02/11/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0
70,3,4,48948,0,0,02/01/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0
33,1,2,80011,0,1,29/04/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0
28,2,2,20559,1,0,03/12/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0
55,1,3,21994,0,1,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0
54,3,1,52251,0,0,11/05/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0
38,2,2,7500,1,0,10/02/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0
38,1,1,79941,0,0,28/06/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0
16,4,2,7500,0,0,11/09/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0
45,1,3,41728,1,0,24/05/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0
63,1,1,52251,2,1,01/01/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0
58,3,2,72550,1,1,11/08/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0
57,1,5,65486,0,1,05/12/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0
48,2,2,79143,0,0,08/11/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0
36,1,1,35790,1,0,01/02/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0
37,1,4,82582,0,0,06/07/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0
35,1,2,66373,1,1,06/12/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0
57,2,3,82384,0,0,19/11/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0
47,1,4,70287,0,0,04/02/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0
26,1,1,27938,1,0,28/04/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0
31,1,1,52251,1,0,17/06/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0
46,3,2,55954,0,1,03/03/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0
31,2,1,75777,0,0,07/04/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0
37,1,3,66653,1,1,09/07/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0
61,1,1,61823,0,1,18/02/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0
62,3,5,67680,0,1,06/11/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0
65,1,3,70666,0,0,12/06/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0
42,1,2,25721,1,0,21/05/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0
47,1,3,32474,1,1,05/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0
35,4,1,88194,0,1,19/03/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0
55,1,3,69096,0,1,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0
43,1,3,74854,1,2,04/08/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0
58,2,2,66991,0,0,09/11/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0
39,4,2,52251,1,0,14/09/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0
54,1,2,65031,0,1,17/03/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0
38,3,2,60631,1,1,04/05/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0
62,1,2,28332,0,0,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0
35,1,4,40246,1,0,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0
40,2,2,75251,0,0,27/08/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0
36,1,1,75825,0,0,10/12/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0
37,4,3,26326,0,0,09/04/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0
48,1,3,56046,0,0,01/02/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0
27,1,1,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0
44,1,2,26304,1,0,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0
40,4,2,23559,1,0,07/03/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0
50,2,3,38620,0,0,05/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0
27,1,4,81361,0,0,25/02/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0
53,1,2,29440,1,1,08/11/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0
43,2,2,36138,1,1,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0
57,1,1,50388,0,1,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0
41,1,2,79593,0,0,05/12/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0
47,1,3,54178,0,1,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0
55,3,2,52251,2,1,19/11/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0
57,1,1,52251,1,1,27/05/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0
40,2,3,52251,0,0,23/11/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0
42,2,1,42394,1,0,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0
44,3,2,23626,1,0,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0
31,1,2,30096,1,0,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0
52,1,5,47916,0,1,22/11/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0
41,1,4,51813,1,1,04/11/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0
62,4,2,78497,0,0,12/01/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0
30,3,2,50150,0,0,20/06/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0
53,4,1,47823,0,1,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0
55,3,1,34554,0,1,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0
34,1,3,85693,0,1,20/04/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0
68,3,2,65846,0,0,17/05/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0
55,1,2,87195,0,0,05/08/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0
34,0,3,24594,1,0,12/10/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0
49,1,2,49096,1,1,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0
44,1,2,52413,0,2,02/02/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0
34,1,1,38557,1,0,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0
52,2,2,89058,0,0,12/07/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0
34,1,3,77298,0,1,11/02/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0
21,3,1,68126,0,0,11/10/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0
51,2,3,57288,0,1,25/06/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0
22,1,1,86037,0,0,01/02/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0
32,3,2,43974,1,0,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0
51,1,1,50785,1,1,09/10/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0
44,1,2,90765,0,0,24/01/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0
35,4,2,36550,1,0,19/02/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0
46,4,3,30753,1,1,07/11/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0
44,1,3,21918,1,0,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0
60,2,3,56129,0,1,20/06/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0
47,2,1,32557,1,0,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0
28,2,2,19510,2,0,09/04/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0
37,1,4,30992,1,0,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0
30,1,1,101970,0,0,03/12/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0
48,4,3,71488,0,0,18/02/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0
29,1,1,79607,0,0,21/04/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0
61,2,2,54348,1,1,06/08/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0
52,3,2,52251,0,1,07/11/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0
58,3,3,77376,1,1,05/10/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0
61,1,2,62998,0,1,30/09/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0
55,2,0,61331,1,1,03/10/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0
45,1,2,73448,0,0,02/10/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0
50,1,2,52251,0,1,08/11/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0
49,3,2,41551,1,1,14/08/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0
46,3,3,62981,0,0,17/03/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0
36,0,4,9548,1,0,08/08/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0
54,3,2,33762,2,1,07/07/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0
41,3,0,35860,1,1,19/05/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0
48,3,4,36921,1,1,28/07/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0
20,2,1,92859,0,0,19/10/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0
37,2,3,65104,0,1,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0
51,1,2,86111,0,0,19/04/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0
39,3,1,68352,0,1,28/08/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0
25,1,3,41883,1,0,19/03/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0
36,1,2,59809,0,2,18/10/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0
37,1,2,23957,1,0,28/10/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0
32,1,3,38547,1,0,28/08/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0
39,4,2,35688,2,1,22/08/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0
48,2,2,49605,0,0,21/06/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0
61,2,2,59354,0,2,24/04/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0
45,1,2,65747,0,1,03/07/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0
40,4,3,46344,0,1,14/12/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0
26,1,0,34176,1,0,05/12/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0
60,3,3,61010,0,1,10/09/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0
64,1,3,69372,0,0,19/02/2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0
55,1,1,49967,0,1,07/08/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0
35,1,1,60199,1,2,09/12/2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0
36,1,3,55375,0,1,17/10/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0
58,1,1,80317,0,0,20/08/2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0
55,2,1,30523,2,1,07/01/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0
67,3,2,70356,0,0,11/05/2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0
30,1,2,23228,1,0,01/05/2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0
38,3,4,74165,0,0,05/01/2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0
41,3,2,157243,0,1,03/01/2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0
47,1,3,43482,2,1,13/11/2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0
60,1,4,62551,0,0,18/11/2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0
54,1,4,52332,0,0,28/08/2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0
25,1,1,66951,0,0,11/02/2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0
57,1,3,26091,1,1,25/02/2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0
49,1,3,33456,1,1,21/04/2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0
31,1,2,28718,1,0,13/07/2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0
44,1,2,50447,2,0,21/04/2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0
55,3,3,53537,1,1,30/01/2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0
47,1,1,52074,0,1,04/04/2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0
37,3,2,80427,0,1,09/12/2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0
64,3,2,83837,0,0,16/12/2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0
44,3,2,38853,1,1,23/05/2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0
55,1,3,38285,2,1,24/06/2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0
62,4,2,78497,0,0,12/01/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0
38,3,2,51650,0,1,05/11/2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0
26,4,2,16248,1,0,05/10/2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0
67,2,2,66835,0,0,28/09/2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0
30,2,2,30477,1,0,22/01/2014,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0
53,0,2,28249,0,0,15/06/2014,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0
29,1,2,25271,1,0,12/05/2012,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0
44,3,1,32303,0,1,03/08/2014,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0
47,1,2,61286,0,1,08/02/2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0
37,1,2,74068,0,0,19/03/2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0
49,3,2,45759,1,1,23/02/2013,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0
34,0,3,24882,1,0,09/09/2012,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0
24,3,3,66973,0,0,17/05/2013,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0
113,4,4,36640,1,0,26/09/2013,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0
25,1,2,38872,1,0,30/05/2013,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0
40,1,2,51148,1,1,18/02/2013,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0
36,1,2,31353,1,1,29/12/2013,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0
34,2,2,69661,0,0,13/05/2014,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0
59,1,2,80067,0,0,19/09/2013,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0
59,1,2,86718,0,0,17/01/2013,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0
41,3,1,46854,1,1,31/03/2014,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0
62,1,4,69142,0,1,29/06/2014,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0
45,1,1,75922,0,0,12/09/2013,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0
35,1,4,63693,0,1,14/10/2013,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0
35,3,3,102160,0,0,11/02/2012,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0
48,3,1,40637,1,1,17/07/2013,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0
28,2,1,18890,0,0,11/10/2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0
25,1,3,29604,1,0,12/08/2013,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0
50,2,4,48721,1,1,13/05/2013,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0
48,1,2,44794,0,1,06/08/2014,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0
58,1,4,64497,0,1,09/10/2012,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0
57,1,3,46097,0,1,31/03/2013,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0
60,1,3,77972,0,0,18/03/2014,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0
44,3,2,44377,1,1,10/05/2012,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0
39,2,3,46014,1,1,21/01/2013,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0
28,1,2,70951,0,0,05/04/2013,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0
37,1,2,41443,1,0,04/01/2014,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0
36,4,1,52195,2,1,05/12/2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0
65,2,2,83790,0,0,15/11/2013,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0
59,2,5,44551,0,1,31/08/2013,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0
32,1,3,69508,1,0,14/11/2012,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0
26,4,3,45204,1,0,04/11/2014,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0
44,1,2,72460,0,0,14/11/2013,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0
44,3,3,77622,0,2,14/04/2014,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0
33,3,2,30732,1,0,01/05/2013,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0
50,1,4,63887,0,1,09/08/2012,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0
35,1,3,42011,1,0,26/03/2013,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0
36,1,3,51369,0,1,25/10/2012,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0
60,1,4,51537,0,1,12/09/2012,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0
40,3,2,79930,0,0,08/08/2012,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0
28,3,3,34320,1,0,16/02/2014,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0
47,1,1,37070,1,1,20/03/2013,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0
51,4,4,81975,0,1,01/05/2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0
42,1,3,38590,1,0,15/05/2013,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0
63,1,1,15033,0,0,16/04/2014,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0
48,3,2,62745,0,1,23/03/2013,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0
38,4,2,22212,1,0,12/09/2013,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0
31,2,3,23661,1,0,12/04/2013,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0
55,3,1,79761,0,1,10/04/2013,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0
40,1,1,7500,1,0,26/12/2013,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0
121,4,1,60182,0,1,17/05/2014,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0
45,1,5,73455,0,0,28/10/2013,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0
54,1,3,64961,0,1,23/12/2012,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0
42,1,1,22804,1,0,31/07/2013,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0
23,1,2,73687,0,0,28/11/2013,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0
54,1,2,61074,0,1,17/08/2012,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0
50,3,2,31686,1,1,06/05/2014,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0
41,1,2,80134,1,0,20/05/2013,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0
60,1,2,75027,0,1,01/09/2013,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0
24,3,2,67546,0,0,31/08/2012,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0
43,2,3,65176,0,1,29/10/2012,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0
38,2,1,31160,1,0,16/09/2013,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0
28,1,1,29938,1,0,27/10/2013,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0
